,Ticker,Expected_Annual_Return,Stock_Volatility,Sharpe_Ratio,Beta,Risk_Free_Return
0,AAPL,12.192,21.2467,0.5343,0.87,6.5647
1,ABC,7.3741,13.4118,0.4872,0.66,5.6415
2,ABT,1.7563,6.8907,0.133,0.5,4.9381
3,ADBE,9.4193,15.2536,0.5624,1.32,8.543
4,ADI,5.8566,11.8437,0.4236,1.06,7.4
5,ADM,2.028,9.0006,0.132,0.76,6.0811
6,ADSK,6.9136,14.6755,0.4139,2.15,12.1919
7,AEE,3.5326,6.7706,0.3977,0.23,3.7511
8,AEP,4.0074,8.4018,0.377,0.34,4.2347
9,AFL,3.1507,12.7469,0.1813,1.66,10.0377
10,AIG,5.0657,13.3094,0.3175,1.68,10.1257
11,AIV,4.2176,7.299,0.4628,0.95,6.9164
12,AIZ,8.9673,12.8103,0.6344,0.87,6.5647
13,AKAM,5.8295,17.6245,0.2831,0.79,6.213
14,ALL,6.2514,8.978,0.6027,1.01,7.1802
15,ALXN,14.0481,45.1744,0.2924,0.54,5.114
16,AMAT,2.5701,4.8514,0.3566,1.54,9.5102
17,AMGN,12.6558,28.5884,0.4133,0.54,5.114
18,AMP,10.163,22.3459,0.4172,1.66,10.0377
19,AMT,8.8987,15.7509,0.5116,0.14,3.3555
20,AMZN,88.0956,114.5323,0.7618,0.78,6.1691
21,AON,10.5248,13.5595,0.7142,0.73,5.9492
22,APA,-6.064,26.0076,-0.2655,1.78,10.5653
23,APC,0.7137,25.8046,-0.0049,2.35,13.0711
24,APD,9.5667,21.3873,0.408,1.1,7.5758
25,APH,6.3257,8.7312,0.6283,1.53,9.4662
26,ATVI,3.5483,6.1733,0.4387,0.71,5.8613
27,AVB,13.7227,29.4564,0.4373,0.76,6.0811
28,AVY,4.7726,11.2477,0.3496,1.28,8.3672
29,AXP,4.7425,14.4615,0.2699,1.03,7.2681
30,AZO,90.3539,92.1845,0.971,0.2,3.6192
31,BA,14.2304,23.8693,0.561,1.04,7.3121
32,BAC,0.9168,4.2021,0.0183,1.78,10.5653
33,BAX,1.8132,6.9874,0.1393,0.8,6.257
34,BBT,3.0334,7.5001,0.2925,1.13,7.7077
35,BBY,0.3547,12.1963,-0.0398,1.74,10.3894
36,BDX,12.4355,19.8222,0.585,0.83,6.3889
37,BIIB,32.8859,86.0054,0.3726,1.22,8.1034
38,BK,2.7302,7.7711,0.2432,1.34,8.6309
39,BLL,6.9829,11.2534,0.5459,0.86,6.5208
40,BMY,4.6925,11.5824,0.3326,0.12,3.2675
41,BSX,1.8049,3.3771,0.2857,1.24,8.1913
42,BWA,3.2251,12.3853,0.1926,1.78,10.5653
43,BXP,8.3924,22.7819,0.3315,0.84,6.4328
44,C,3.637,13.2673,0.2108,1.86,10.917
45,CAG,3.0843,5.0932,0.4406,0.47,4.8062
46,CAH,5.6407,13.2669,0.3619,0.46,4.7623
47,CAT,4.8898,22.8636,0.1771,1.79,10.6092
48,CB,11.8491,15.4434,0.7129,0.5,4.9381
49,CBG,2.5272,7.8319,0.2154,2.15,12.1919
50,CCI,6.7448,13.0439,0.4527,0.38,4.4106
51,CCL,2.8604,11.0925,0.1821,1.43,9.0266
52,CELG,12.5685,23.7668,0.4935,0.92,6.7845
53,CERN,3.7618,11.8508,0.2465,0.52,5.026
54,CF,1.8753,13.6292,0.076,1.83,10.7851
55,CHK,-2.7968,8.1128,-0.4483,1.36,8.7189
56,CHRW,1.9908,14.974,0.0769,0.59,5.3338
57,CI,13.8757,22.7656,0.5726,0.7,5.8174
58,CINF,7.0437,7.9125,0.784,0.73,5.9492
59,CL,3.4346,8.9717,0.2892,0.32,4.1468
60,CLX,8.3795,14.5133,0.5195,0.38,4.4106
61,CMA,5.379,11.0878,0.4094,1.41,8.9387
62,CME,6.703,17.0159,0.3446,1.11,7.6198
63,CMG,41.4012,135.225,0.3,0.48,4.8502
64,CMI,12.8331,32.1823,0.3727,1.7,10.2136
65,CMS,3.6942,5.0274,0.5677,0.29,4.0149
66,CNP,1.4474,4.0255,0.1509,0.43,4.6304
67,COF,6.8921,16.3933,0.3692,1.16,7.8396
68,COG,1.688,8.5228,0.0995,0.94,6.8725
69,COL,5.2073,14.1954,0.3077,0.86,6.5208
70,COST,14.402,19.6835,0.689,0.49,4.8942
71,CPB,3.8043,7.6633,0.3868,0.21,3.6632
72,CRM,7.1159,17.2379,0.3641,0.91,6.7406
73,CSCO,0.7909,5.7954,-0.0085,1.41,8.9387
74,CSX,2.8094,6.5217,0.302,1.31,8.4991
75,CTAS,12.753,11.8697,1.0036,0.81,6.3009
76,CTL,-1.8421,8.3762,-0.3202,0.53,5.07
77,CTSH,4.6667,12.8974,0.2967,1.16,7.8396
78,CTXS,6.6461,22.9144,0.2534,1.95,11.3126
79,CVS,6.5689,13.0117,0.4403,1.02,7.2242
80,CVX,5.5263,21.3281,0.2197,1.18,7.9275
81,D,5.3818,9.8755,0.4599,0.24,3.7951
82,DAL,5.4304,9.7128,0.4726,0.66,5.6415
83,DE,6.719,19.4258,0.3026,1.35,8.6749
84,DFS,8.2207,10.2652,0.719,0.92,6.7845
85,DG,7.2926,14.664,0.44,0.12,3.2675
86,DGX,4.3964,12.9123,0.2754,0.85,6.4768
87,DHI,2.3126,7.0516,0.2088,1.77,10.5213
88,DHR,7.0584,9.5979,0.6479,1.18,7.9275
89,DIS,10.3188,14.4459,0.6562,1.05,7.356
90,DLTR,8.7418,14.1866,0.557,0.11,3.2236
91,DOV,5.6888,15.0058,0.3231,1.52,9.4223
92,DRI,5.3947,12.9436,0.3519,0.7,5.8174
93,DUK,3.8201,10.7586,0.277,0.17,3.4874
94,DVA,4.897,11.3297,0.3581,0.65,5.5975
95,DVN,-4.4193,18.6771,-0.2816,1.38,8.8068
96,EA,8.6684,12.6938,0.6167,1.04,7.3121
97,EBAY,2.8076,5.778,0.3405,0.87,6.5647
98,ECL,10.2931,16.6194,0.5688,0.58,5.2898
99,ED,4.0474,9.4232,0.3404,0.09,3.1357
100,EFX,12.4084,14.6594,0.7891,0.93,6.8285
101,EIX,5.3232,9.2132,0.4866,0.3,4.0589
102,EL,7.4685,15.077,0.4396,1.28,8.3672
103,EMN,6.3408,16.8621,0.3262,1.77,10.5213
104,EMR,1.7734,12.3115,0.0758,1.31,8.4991
105,EOG,7.2811,22.9043,0.2812,1.42,8.9826
106,EQR,4.4279,13.3481,0.2688,0.72,5.9053
107,EQT,2.9476,20.4916,0.1029,1.11,7.6198
108,ETFC,2.3241,6.6019,0.2248,2.34,13.0272
109,ETN,4.9957,14.4384,0.2878,1.74,10.3894
110,ETR,-1.2414,13.0102,-0.16,0.29,4.0149
111,EW,10.2734,18.9126,0.4988,0.62,5.4657
112,EXC,-1.915,7.2752,-0.3787,0.57,5.2458
113,EXPD,2.5572,10.5913,0.1621,1.26,8.2792
114,EXPE,8.8157,29.1179,0.2739,0.73,5.9492
115,F,0.2646,3.8406,-0.1498,1.56,9.5981
116,FAST,3.7135,10.3906,0.2765,0.85,6.4768
117,FB,21.7625,23.6934,0.8831,3.29,17.2036
118,FCX,-4.0818,12.9302,-0.3806,2.18,12.3238
119,FDX,14.6952,28.1424,0.4923,1.25,8.2353
120,FE,-2.2597,7.9616,-0.3893,0.29,4.0149
121,FFIV,12.9776,39.3325,0.3086,1.95,11.3126
122,FIS,7.4113,10.5431,0.6233,0.81,6.3009
123,FISV,11.6654,10.89,0.9941,1.02,7.2242
124,FL,8.5425,11.5316,0.668,1.1,7.5758
125,FLIR,0.5077,7.5636,-0.0439,0.77,6.1251
126,FLR,0.9311,17.8917,0.0051,1.81,10.6972
127,FLS,2.2473,13.8561,0.1016,1.96,11.3566
128,FMC,4.026,12.6105,0.2526,1.01,7.1802
129,GD,14.7982,19.6373,0.7108,1.19,7.9715
130,GILD,7.1452,19.9756,0.3156,0.81,6.3009
131,GIS,3.7643,7.5571,0.387,0.04,2.9158
132,GLW,0.6736,4.9267,-0.0338,1.6,9.774
133,GM,0.1064,8.4953,-0.0864,1.7,10.2136
134,GPC,8.2107,14.2243,0.5182,0.69,5.7734
135,GPS,0.2717,9.0204,-0.063,1.25,8.2353
136,GRMN,2.3326,11.7255,0.1273,0.9,6.6966
137,GT,2.2998,7.0817,0.2061,2.18,12.3238
138,GWW,19.309,44.1816,0.418,0.99,7.0923
139,HAL,3.2666,14.4371,0.1681,1.86,10.917
140,HAS,6.4716,13.1017,0.4298,0.83,6.3889
141,HBAN,1.3644,2.3079,0.2272,1.23,8.1474
142,HCN,3.2737,12.991,0.1873,0.69,5.7734
143,HCP,0.3338,8.4434,-0.06,0.6,5.3777
144,HD,15.0757,15.6602,0.909,1.01,7.1802
145,HES,-0.1244,20.9725,-0.046,1.86,10.917
146,HIG,3.4024,8.8386,0.2899,2.09,11.9281
147,HOG,4.7025,14.5598,0.2653,1.56,9.5981
148,HON,10.798,15.5847,0.639,1.39,8.8508
149,HP,5.0657,23.2739,0.1816,1.65,9.9938
150,HPQ,-1.2842,4.4637,-0.4759,1.52,9.4223
151,HRB,0.0472,6.9557,-0.114,0.97,7.0043
152,HRL,3.6098,4.919,0.5631,0.48,4.8502
153,HRS,7.7431,13.9423,0.4951,1.21,8.0594
154,HST,1.004,4.7155,0.0348,1.72,10.3015
155,HSY,9.6123,15.5495,0.5642,0.09,3.1357
156,HUM,22.6471,34.3441,0.635,0.66,5.6415
157,IBM,4.7969,32.1542,0.1231,0.65,5.5975
158,IFF,10.8437,18.2965,0.5468,0.76,6.0811
159,INTC,2.2011,6.3291,0.215,0.99,7.0923
160,INTU,11.985,16.5337,0.6741,0.75,6.0372
161,IP,3.755,10.1842,0.2862,1.49,9.2904
162,IPG,2.2711,4.1093,0.3483,2.05,11.7523
163,IRM,1.6197,7.9842,0.0976,0.68,5.7294
164,ISRG,46.5385,136.1791,0.3356,1.04,7.3121
165,ITW,10.5677,14.0435,0.6927,1.26,8.2792
166,IVZ,1.0011,8.2028,0.0196,2.19,12.3677
167,JEC,2.653,12.7266,0.1425,1.69,10.1696
168,JNPR,0.1545,8.8209,-0.0777,2.15,12.1919
169,JPM,6.2128,12.6029,0.4263,1.63,9.9058
170,JWN,1.4316,15.2652,0.0388,1.3,8.4551
171,K,2.9862,10.0333,0.2139,0.44,4.6743
172,KEY,1.7634,3.0325,0.3045,1.57,9.6421
173,KIM,1.6447,4.8183,0.167,1.33,8.587
174,KLAC,5.9725,16.0689,0.3194,1.61,9.8179
175,KMB,7.5085,14.6644,0.4547,0.05,2.9598
176,KMI,-3.955,8.2598,-0.5805,0.71,5.8613
177,KMX,5.7794,13.5355,0.3649,1.76,10.4774
178,KO,1.8507,5.7089,0.177,0.37,4.3666
179,KR,3.4711,5.2311,0.503,0.73,5.9492
180,KSS,-0.6579,15.0665,-0.0994,0.6,5.3777
181,KSU,7.3226,24.6999,0.2625,1.28,8.3672
182,LEG,4.0575,7.2821,0.4418,1.07,7.444
183,LEN,4.2791,11.0615,0.3109,1.82,10.7411
184,LH,7.4384,20.1169,0.328,0.71,5.8613
185,LLL,9.1733,21.2692,0.3918,1.09,7.5319
186,LLY,5.3961,12.8767,0.3538,0.42,4.5864
187,LMT,24.7552,25.7167,0.93,0.6,5.3777
188,LOW,6.8592,10.7081,0.5621,1.12,7.6638
189,LRCX,9.4178,17.258,0.497,1.23,8.1474
190,LUK,-0.1215,7.2115,-0.1333,1.89,11.0489
191,LUV,5.5291,8.0067,0.5857,0.9,6.6966
192,LYB,9.5499,21.0821,0.4131,2.51,13.7745
193,M,2.6816,11.9584,0.154,0.83,6.3889
194,MA,11.0934,14.6744,0.6987,0.81,6.3009
195,MAC,5.1487,14.996,0.2873,1.08,7.4879
196,MAR,8.1004,12.751,0.5694,1.31,8.4991
197,MAS,2.7264,5.871,0.3213,1.88,11.0049
198,MAT,1.0812,7.5757,0.0318,0.65,5.5975
199,MCD,8.4296,14.4981,0.5235,0.34,4.2347
200,MCHP,5.0014,10.1076,0.4117,1.08,7.4879
201,MCK,11.0254,34.3445,0.2966,0.63,5.5096
202,MCO,9.5823,16.862,0.5185,1.58,9.686
203,MET,2.5157,12.6536,0.1324,1.95,11.3126
204,MKC,8.1564,11.0569,0.6617,0.43,4.6304
205,MMC,6.5388,7.311,0.7795,0.74,5.9932
206,MMM,13.6655,21.0357,0.6097,1.07,7.444
207,MNST,5.4052,9.3739,0.487,0.05,2.9598
208,MO,6.8406,6.7763,0.8855,0.46,4.7623
209,MON,3.115,20.9808,0.1084,1.46,9.1585
210,MOS,-4.631,17.794,-0.3075,1.59,9.73
211,MPC,4.5862,14.9059,0.2513,2.93,15.6209
212,MRK,3.1264,9.4218,0.2427,0.39,4.4545
213,MRO,-0.2637,8.6189,-0.1281,1.5,9.3343
214,MSFT,4.4608,8.9497,0.4046,1.18,7.9275
215,MTB,12.7888,23.3784,0.5111,0.63,5.5096
216,MU,1.5832,7.0731,0.1051,1.7,10.2136
217,MYL,2.7789,13.5069,0.1435,1.21,8.0594
218,NBL,0.2074,14.5291,-0.0435,1.48,9.2464
219,NDAQ,6.7047,8.8275,0.6644,1.13,7.7077
220,NEM,-2.0566,14.0782,-0.2058,0.22,3.7072
221,NFLX,16.6131,28.0667,0.562,1.75,10.4334
222,NFX,-1.3472,16.8961,-0.1295,1.41,8.9387
223,NKE,4.9331,8.742,0.4682,0.61,5.4217
224,NOV,-0.5892,18.1578,-0.0787,2.25,12.6315
225,NSC,7.9347,19.655,0.361,1.21,8.0594
226,NTAP,0.1545,12.2338,-0.056,1.67,10.0817
227,NTRS,5.2231,13.5399,0.3237,1.1,7.5758
228,NUE,1.6776,11.683,0.0717,1.25,8.2353
229,NVDA,12.6215,12.9705,0.9083,1.64,9.9498
230,NWL,4.2119,7.3083,0.4614,1.35,8.6749
231,NWSA,-1.2261,3.6847,-0.5607,1.17,7.8836
232,OKE,5.3571,11.9473,0.3781,0.95,6.9164
233,OMC,6.5059,11.8141,0.4796,1.46,9.1585
234,ORLY,34.3118,34.5929,0.9676,0.49,4.8942
235,OXY,-1.2186,22.0959,-0.0932,1.59,9.73
236,PAYX,4.2992,6.9722,0.4961,0.9,6.6966
237,PBCT,0.3733,2.7919,-0.1672,0.82,6.3449
238,PCAR,3.903,13.3585,0.2293,1.72,10.3015
239,PCG,2.3269,8.3647,0.1778,0.29,4.0149
240,PCLN,177.6443,267.3748,0.6613,1.63,9.9058
241,PDCO,1.7477,8.3315,0.1089,0.77,6.1251
242,PEG,1.4659,6.9722,0.0898,0.22,3.7072
243,PEP,6.2056,11.4832,0.4673,0.35,4.2787
244,PFE,1.9379,4.9449,0.222,0.81,6.3009
245,PFG,4.6996,10.5001,0.3676,1.62,9.8619
246,PG,3.2837,10.6586,0.2293,0.34,4.2347
247,PGR,2.4985,4.5635,0.3634,0.59,5.3338
248,PH,12.2253,24.51,0.4645,1.62,9.8619
249,PHM,1.1642,5.4084,0.0599,2.24,12.5875
250,PKI,4.5065,8.61,0.4258,1.05,7.356
251,PM,6.0268,13.8774,0.3738,0.86,6.5208
252,PNC,9.0746,16.8835,0.4877,1.08,7.4879
253,PNR,3.2451,13.5688,0.1773,1.15,7.7957
254,PNW,5.8852,9.5541,0.5281,0.26,3.883
255,PPG,9.219,16.874,0.4966,1.22,8.1034
256,PPL,0.226,5.5548,-0.1105,0.15,3.3994
257,PRU,7.4785,19.4934,0.3405,1.62,9.8619
258,PWR,1.9465,7.7612,0.1426,0.61,5.4217
259,PX,5.0958,19.2615,0.2209,0.75,6.0372
260,QCOM,2.6115,15.1575,0.1169,1.16,7.8396
261,RHI,3.0978,10.3439,0.2183,1.51,9.3783
262,RHT,5.5177,17.3448,0.2697,1.05,7.356
263,RL,1.2528,40.1844,0.0103,1.33,8.587
264,ROK,12.3955,24.1839,0.4778,1.42,8.9826
265,ROP,18.6697,25.3516,0.7033,1.08,7.4879
266,ROST,7.8557,8.605,0.8153,0.56,5.2019
267,RRC,-2.6087,21.3201,-0.1618,0.96,6.9604
268,RSG,4.0575,6.142,0.5238,0.59,5.3338
269,SBUX,6.2921,8.2266,0.6627,0.78,6.1691
270,SCG,5.1044,8.8766,0.4804,0.31,4.1028
271,SCHW,2.816,6.7266,0.2938,1.69,10.1696
272,SEE,3.3352,8.4904,0.2939,1.19,7.9715
273,SHW,29.615,41.8194,0.6881,0.58,5.2898
274,SJM,9.4221,18.0631,0.4751,0.49,4.8942
275,SNA,18.3651,21.8945,0.8004,1.36,8.7189
276,SO,2.2797,6.2382,0.2308,0.09,3.1357
277,SPG,14.7921,29.2698,0.4767,0.76,6.0811
278,SRCL,3.1293,24.6005,0.0931,0.23,3.7511
279,SRE,6.3987,14.5762,0.3814,0.38,4.4106
280,STI,4.9213,9.2777,0.4399,1.71,10.2575
281,STT,4.7568,14.7401,0.2657,1.68,10.1257
282,STX,2.7574,13.3044,0.1441,2.87,15.3572
283,STZ,19.6208,19.5572,0.9603,1.2,8.0155
284,SWK,8.8643,19.6918,0.4075,1.79,10.6092
285,SYK,9.6753,14.592,0.6055,0.94,6.8725
286,SYMC,0.7852,5.556,-0.0099,0.92,6.7845
287,SYY,3.9001,6.2972,0.486,0.75,6.0372
288,T,1.9951,5.1606,0.2238,0.24,3.7951
289,TAP,7.3498,14.6906,0.4431,0.84,6.4328
290,TEL,6.3286,11.0197,0.4981,1.78,10.5653
291,TGT,3.3867,12.8958,0.1975,0.58,5.2898
292,TIF,4.7826,20.8677,0.1889,1.75,10.4334
293,TJX,8.1678,10.7781,0.6799,0.53,5.07
294,TMK,7.704,7.9159,0.8671,1.09,7.5319
295,TMO,13.3866,20.7783,0.6038,0.93,6.8285
296,TRV,10.3846,14.0853,0.6776,0.83,6.3889
297,TSN,7.0709,10.3627,0.6013,0.6,5.3777
298,TSS,4.5509,7.6776,0.4833,1.05,7.356
299,TXN,6.7162,9.9341,0.5915,1.19,7.9715
300,TXT,4.2219,9.5142,0.3555,1.87,10.9609
301,UNH,18.3794,18.2046,0.9635,0.57,5.2458
302,UNM,3.431,7.1206,0.3639,1.39,8.8508
303,UNP,10.1522,17.0918,0.5448,1.08,7.4879
304,UPS,8.0749,14.6002,0.4955,0.91,6.7406
305,USB,4.0746,7.1027,0.4554,0.98,7.0483
306,UTX,5.4333,17.4435,0.2633,1.13,7.7077
307,V,8.0069,11.0717,0.6473,0.79,6.213
308,VAR,6.0941,16.3258,0.3218,0.93,6.8285
309,VFC,5.0064,11.5171,0.3618,0.93,6.8285
310,VIAB,0.7323,14.6335,-0.0074,1.14,7.7517
311,VLO,7.4323,14.1668,0.4653,2.06,11.7962
312,VMC,10.3575,19.7588,0.4817,1.53,9.4662
313,VNO,5.8561,18.1631,0.2762,1.07,7.444
314,VRSN,7.3412,13.1618,0.4939,0.89,6.6526
